	anio	sexo	count
0	2000	Femenino	3165
1	2000	Indeterminado	16
2	2000	Masculino	30979
3	2001	Femenino	3489
4	2001	Indeterminado	16
5	2001	Masculino	31798
6	2002	Femenino	3531
7	2002	Indeterminado	26
8	2002	Masculino	33148
11	2003	Masculino	25523
9	2003	Femenino	2797
10	2003	Indeterminado	27
12	2004	Femenino	2820
13	2004	Indeterminado	14
14	2004	Masculino	24550
17	2005	Masculino	21170
15	2005	Femenino	2574
16	2005	Indeterminado	10
20	2006	Masculino	20655
19	2006	Indeterminado	21
18	2006	Femenino	2336
21	2007	Femenino	2339
22	2007	Indeterminado	41
23	2007	Masculino	20340
24	2008	Femenino	2371
25	2008	Indeterminado	12
26	2008	Masculino	19454
28	2009	Indeterminado	1
29	2009	Masculino	21880
27	2009	Femenino	2618
30	2010	Femenino	2469
31	2010	Indeterminado	3
32	2010	Masculino	20681
33	2011	Femenino	2319
34	2011	Indeterminado	12
35	2011	Masculino	18831
37	2012	Indeterminado	22
36	2012	Femenino	2289
38	2012	Masculino	18077
